Line,LONGITUDE,LATITUDE,ELEV,LABEL,KML_STYLE,ELEVATION,Elev_filtered
D0,100.6984539,14.286207,22.0160007,159,style,22.016,21.8654303654297
D0,100.6986856,14.2862054,21.8719997,160,style,21.872,21.8662524030042
D0,100.6989173,14.2862037,21.8719997,161,style,21.872,21.8746312846851
D0,100.699149,14.2862021,21.5839996,162,style,21.584,21.907299245252
D0,100.6993503,14.2862006,21.4400005,163,style,21.44,21.9755205730345
D0,100.6993483,14.285945,22.3040009,164,style,22.304,22.0600370757169
D0,100.6993475,14.2858391,23.0240002,165,style,23.024,22.1045669174315
D0,100.6992244,14.28584,21.8209991,166,style,21.821,22.0754909990887
D0,100.6989927,14.2858416,21.8199997,167,style,21.82,22.000310292523
D0,100.698761,14.2858433,21.8719997,168,style,21.872,21.9018784161308
D0,100.6985293,14.2858449,21.8719997,169,style,21.872,21.7862888118864
D0,100.6982977,14.2858466,21.7280006,170,style,21.728,21.6560663756155
D0,100.698066,14.2858483,21.4400005,171,style,21.44,21.5201510024886
D0,100.6978343,14.2858499,21.5839996,172,style,21.584,21.3923708323958
D0,100.6976026,14.2858516,21.0079994,173,style,21.008,21.2856033182613
D0,100.6973709,14.2858532,21.1520004,174,style,21.152,21.2195386188367
D0,100.6971392,14.2858549,21.1520004,175,style,21.152,21.1974281808026
D0,100.6969075,14.2858565,21.1520004,176,style,21.152,21.2126370179327
D0,100.6966758,14.2858582,21.4400005,177,style,21.44,21.2533653380011
D0,100.6964441,14.2858598,21.5839996,178,style,21.584,21.3061243222729
D0,100.6962124,14.2858615,21.5839996,179,style,21.584,21.3734881071431
D0,100.6959807,14.2858631,21.1520004,180,style,21.152,21.4831749834362
D0,100.695749,14.2858648,21.2959995,181,style,21.296,21.6760490464051
D0,100.6955174,14.2858664,21.7280006,182,style,21.728,21.9680704398482
D0,100.6952857,14.2858681,21.7280006,183,style,21.728,22.3403419474152
D0,100.695054,14.2858697,22.448,184,style,22.448,22.741421806869
D0,100.6948223,14.2858714,22.5919991,185,style,22.592,23.070153922033
D0,100.6946347,14.2858727,27.4880009,186,style,27.488,23.1876458117817
D0,100.6946327,14.2856037,21.9869995,187,style,21.987,22.9899102732101
D0,100.694632,14.2855112,21.7280006,188,style,21.728,22.6349659793737
D0,100.6947688,14.2855102,21.8719997,189,style,21.872,22.2705273885945
D0,100.6950005,14.2855086,21.7280006,190,style,21.728,21.9604872662066
